Name,Tags,URL,References,Files
1st Word/1st Word Plus,,https://en.wikipedia.org/wiki/1st_Word/1st_Word_Plus,,
AbiWord,,https://en.wikipedia.org/wiki/AbiWord,,
Adobe InCopy,,https://en.wikipedia.org/wiki/Adobe_InCopy,,
Amí,,https://en.wikipedia.org/wiki/Am%C3%AD,,
Apache OpenOffice Writer,,https://en.wikipedia.org/wiki/Apache_OpenOffice,,
Asem-Notes,,http://asem-notes.herokuapp.com/,,
AtariWriter,,https://en.wikipedia.org/wiki/AtariWriter,,
Atlantis Word Processor Lite,,https://www.atlantiswordprocessor.com/en/lite.htm,,
Authorea,,https://en.wikipedia.org/wiki/Authorea,,
Bank Street Writer,,https://en.wikipedia.org/wiki/Bank_Street_Writer,,
Baraha,,https://en.wikipedia.org/wiki/Baraha,,
Bean,,https://en.wikipedia.org/wiki/Bean_(software),,
Bear,Markdown,https://bear.app/#features,,
Bravo,,https://en.wikipedia.org/wiki/Bravo_(software),,
Byword,Markdown,https://bywordapp.com/,,
Calligra Words,,https://en.wikipedia.org/wiki/Calligra_Words,,
Chorus,,https://product.voxmedia.com/chorus,,
Coda,"Cloud, Productivity",https://coda.io/about,"""https://www.theverge.com/2017/10/19/16497444/coda-spreadsheet-krypton-shishir-mehrotra"" | The Verge",
Cut & Paste,,https://en.wikipedia.org/wiki/Cut_%26_Paste_(word_processor),,
Drafts,,https://docs.getdrafts.com/,,
EasyWriter,,https://en.wikipedia.org/wiki/EasyWriter,,
Electric Pencil,,https://en.wikipedia.org/wiki/Electric_Pencil,,
Emacs,,https://en.wikipedia.org/wiki/Emacs,,
Etherpad,,https://en.wikipedia.org/wiki/Etherpad,,
Evernote,,https://en.wikipedia.org/wiki/Evernote,,
Expensive Typewriter,,https://en.wikipedia.org/wiki/Expensive_Typewriter,,http://archive.computerhistory.org/resources/text/DEC/pdp-1/DEC.pdp_1.1972.102650079.pdf
Fade In,,https://www.fadeinpro.com/,,
Final Draft®,,https://www.finaldraft.com/,,
Froala,,https://froala.com,,
GoodNotes,,https://apps.apple.com/us/app/goodnotes-5/id1444383602,,
Google Docs,,https://en.wikipedia.org/wiki/Google_Docs,,
Gypsy,,https://en.wikipedia.org/wiki/Gypsy_(software),"https://www.notion.so/Track-Changes-A-Literary-History-of-Word-Processing-b370d1da4f8d4da68d8cc72e458abec6 ",
Hackpad - Wikipedia,,https://en.wikipedia.org/wiki/Hackpad,,
HomeText,,https://en.wikipedia.org/wiki/HomePak,,
iA Writer,,https://ia.net/writer,,
IBM DisplayWrite,,https://en.wikipedia.org/wiki/IBM_DisplayWrite,,
IBM Lotus Word Pro,,https://en.wikipedia.org/wiki/IBM_Lotus_Word_Pro,,
IntelliTalk,,https://en.wikipedia.org/wiki/IntelliTalk,,
KindWords,,https://en.wikipedia.org/wiki/KindWords,,
Leo,,https://github.com/leo-editor/leo-editor,,
Lexicon,,https://en.wikipedia.org/wiki/Lexicon_(program),,
Marker,"Git, Markdown",https://github.com/fabiocolacio/Marker,,
Microsoft Word,,https://en.wikipedia.org/wiki/Microsoft_Word,,
Monaco Editor,,https://microsoft.github.io/monaco-editor/,,
Nimbus Note,,https://apps.apple.com/us/app/nimbus-note/id828918459,,
Nota Bene,DOS,https://winworldpc.com/product/nota-bene,,Word%20Processors%200f3f754d5a4b46cb99bd3e1c0a2e1159/Nota_Bene_3.0_(5.25-360k).7z
Notational Velocity,,http://notational.net/,,
Notepad++,,https://en.wikipedia.org/wiki/Notepad%2B%2B,,
Notes (Apple),,https://en.wikipedia.org/wiki/Notes_(Apple),,
Notion,,https://en.wikipedia.org/wiki/Notion_(app),,
Nvi,,https://sites.google.com/a/bostic.com/keithbostic/vi/,,
Pages,,https://en.wikipedia.org/wiki/Pages_(word_processor),,
"paperwork/paperwork: Paperwork - OpenSource note-taking & archiving alternative to Evernote, Microsoft OneNote & Google Keep",,https://github.com/paperwork/paperwork,,
Scripto,,https://scripto.live/,,
Scrivener,,https://www.literatureandlatte.com/scrivener/overview,,
slate,,https://github.com/slatedocs/slate,,
Sublime Text,,https://en.wikipedia.org/wiki/Sublime_Text,,
takenote,"Cloud, Markdown",https://takenote.dev/app,,
The First XLEnt Word Processor,,https://en.wikipedia.org/wiki/The_First_XLEnt_Word_Processor,,
The Howl Editor,,https://howl.io/,,
Thot,,http://opera.inrialpes.fr/Thot/Doc/thoteditor/Index.html,,
Twine,,http://twinery.org/,,
Typora,Markdown,https://typora.io,,
Vim,,https://en.wikipedia.org/wiki/Vim_(text_editor),,
vuepress,,https://github.com/vuejs/vuepress,,
WordPerfect,,https://en.wikipedia.org/wiki/WordPerfect,,
WordStar,,https://en.wikipedia.org/wiki/WordStar,,
Zettlr,Markdown,https://www.zettlr.com/,,
Zine,,https://apps.apple.com/us/app/zine-enjoy-writing/id670831255,,
‎Notability,,https://apps.apple.com/us/app/notability/id360593530,,
‎Taio - Markdown & Text Actions on the App Store,,https://apps.apple.com/us/app/taio-markdown-text-actions/id1527036273,,
