Operating system,Latest stable version,Support status
Microsoft Windows,"7, 8, 10 (32-bit or 64-bit)",2020
XP SP3 / 2003 SP2,X7,2001–2015
2000 / 98 SE / Me,X3,?
NT 4,12,?
95 OSR2,10,?
3.1x,7,1991–1997
Linux,With CorelWine,9.0
Desktop kernel 2.0 and newer,8.1,1996–1999
DOS,3.1 and higher,6.2
Classic Mac OS,7.0 – 9.2.2,3.5e[note 1]
Java,Beta,1997
OS/2,5.2,1989–1993
NeXTSTEP,1.0.1,1991
OpenVMS,7.1[note 2],1987-?
Data General,4.2,1980–1989
Atari ST and Amiga,4.1,1987
Apple DOS,2.1e,?
